"honnda","sugimoto","bor1","yumoto","santou","yamada","mano","ochi","bor2","yang","tanaka","sugizaki"
3,30,15,85,NA,20,NA,NA,NA,NA,NA,50
0,59,95,NA,20,NA,NA,19,NA,NA,40,NA
20,100,100,NA,NA,NA,5,NA,NA,NA,NA,NA
0,100,10,NA,NA,NA,NA,NA,NA,4,NA,NA
3,95,50,NA,0,NA,NA,69,NA,NA,NA,90
20,20,100,NA,NA,NA,NA,NA,100,NA,NA,NA
90,10,100,NA,NA,NA,NA,NA,NA,49,10,NA
3,5,20,30,NA,NA,0,NA,NA,NA,NA,NA
0,90,95,55,NA,NA,NA,NA,NA,50,NA,80
0,10,10,NA,NA,NA,NA,NA,NA,NA,50,15
20,95,100,20,NA,92,NA,NA,NA,NA,NA,NA
100,50,75,NA,67,93,NA,NA,NA,NA,NA,NA
30,15,100,NA,NA,NA,NA,60,NA,NA,NA,NA
0,95,100,NA,NA,NA,NA,NA,NA,NA,50,NA
60,95,100,95,NA,NA,70,NA,NA,NA,NA,100
80,20,100,NA,NA,NA,NA,NA,90,NA,NA,NA
0,90,0,NA,NA,NA,NA,0,NA,NA,NA,5
20,50,NA,20,NA,NA,NA,23,NA,NA,NA,NA
0,95,NA,NA,NA,15,30,NA,NA,NA,NA,NA
90,90,NA,NA,NA,47,NA,NA,NA,NA,NA,NA
95,95,NA,NA,90,NA,30,NA,NA,NA,NA,NA
10,95,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
10,90,NA,NA,NA,NA,NA,NA,75,NA,60,NA
3,30,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
3,90,NA,NA,5,NA,NA,NA,40,NA,NA,NA
20,95,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
0,10,NA,NA,NA,0,NA,NA,NA,85,NA,NA
100,95,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
0,80,NA,NA,5,NA,NA,NA,NA,80,20,NA
0,15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
